xheight,stem,counter,darkness
465,40,130,2418000
464,40,131,2435395
463,40,132,2452717
463,40,133,2469966
462,40,135,2487141
461,40,136,2504244
460,40,137,2521273
459,40,138,2538229
459,40,139,2555112
458,40,140,2571922
457,40,142,2588659
456,40,143,2605323
456,40,144,2621914
455,40,145,2638431
454,40,146,2654875
453,40,147,2671247
452,40,149,2687545
452,40,150,2703770
451,40,151,2719921
450,40,152,2736000
466,50,130,3027632
465,50,131,3049421
464,50,132,3071119
463,50,133,3092726
463,50,135,3114241
462,50,136,3135665
461,50,137,3156997
460,50,138,3178238
459,50,139,3199388
459,50,140,3220446
458,50,142,3241413
457,50,143,3262288
456,50,144,3283072
456,50,145,3303765
455,50,146,3324366
454,50,147,3344875
453,50,149,3365294
452,50,150,3385620
452,50,151,3405856
451,50,152,3426000
467,60,130,3639316
466,60,131,3665518
465,60,132,3691611
464,60,133,3717593
463,60,135,3743466
463,60,136,3769230
462,60,137,3794884
461,60,138,3820428
460,60,139,3845862
459,60,140,3871187
459,60,142,3896402
458,60,143,3921507
457,60,144,3946502
456,60,145,3971388
456,60,146,3996165
455,60,147,4020831
454,60,149,4045388
453,60,150,4069835
452,60,151,4094172
452,60,152,4118400
467,70,130,4253053
467,70,131,4283686
466,70,132,4314191
465,70,133,4344568
464,70,135,4374818
463,70,136,4404939
463,70,137,4434932
462,70,138,4464798
461,70,139,4494535
460,70,140,4524145
459,70,142,4553626
459,70,143,4582980
458,70,144,4612205
457,70,145,4641302
456,70,146,4670272
456,70,147,4699114
455,70,149,4727827
454,70,150,4756413
453,70,151,4784870
452,70,152,4813200
468,80,130,4868842
467,80,131,4903925
467,80,132,4938861
466,80,133,4973651
465,80,135,5008295
464,80,136,5042792
463,80,137,5077143
463,80,138,5111348
462,80,139,5145407
461,80,140,5179320
460,80,142,5213086
459,80,143,5246706
459,80,144,5280180
458,80,145,5313507
457,80,146,5346688
456,80,147,5379723
456,80,149,5412612
455,80,150,5445354
454,80,151,5477950
469,90,130,5486684
453,80,152,5510400
468,90,131,5526234
467,90,132,5565620
467,90,133,5604841
466,90,135,5643898
465,90,136,5682789
464,90,137,5721517
463,90,138,5760080
463,90,139,5798478
462,90,140,5836712
461,90,142,5874781
460,90,143,5912686
459,90,144,5950426
459,90,145,5988002
458,90,146,6025413
457,90,147,6062659
456,90,149,6099741
470,100,130,6106579
456,90,150,6136659
469,100,131,6150615
455,90,151,6173412
468,100,132,6194468
454,90,152,6210000
467,100,133,6238139
467,100,135,6281626
466,100,136,6324931
465,100,137,6368053
464,100,138,6410992
463,100,139,6453748
463,100,140,6496321
462,100,142,6538712
461,100,143,6580920
460,100,144,6622945
459,100,145,6664787
459,100,146,6706446
471,110,130,6728526
458,100,147,6747922
470,110,131,6777066
457,100,149,6789216
469,110,132,6825406
456,100,150,6830327
456,100,151,6871255
468,110,133,6873543
455,100,152,6912000
467,110,135,6921480
467,110,136,6969216
466,110,137,7016751
465,110,138,7064084
464,110,139,7111217
463,110,140,7158148
463,110,142,7204878
462,110,143,7251407
461,110,144,7297735
460,110,145,7343862
471,120,130,7352526
459,110,146,7389788
471,120,131,7405589
459,110,147,7435512
470,120,132,7458432
458,110,149,7481036
469,120,133,7511056
457,110,150,7526358
468,120,135,7563460
456,110,151,7571480
467,120,136,7615645
456,110,152,7616400
467,120,137,7667611
466,120,138,7719357
465,120,139,7770884
464,120,140,7822192
463,120,142,7873280
463,120,143,7924148
462,120,144,7974798
472,130,130,7978579
461,120,145,8025228
471,130,131,8036182
460,120,146,8075438
471,130,132,8093548
459,120,147,8125429
470,130,133,8150676
459,120,149,8175201
469,130,135,8207566
458,120,150,8224753
468,130,136,8264219
457,120,151,8274086
467,130,137,8320634
456,120,152,8323200
467,130,138,8376811
466,130,139,8432751
465,130,140,8488453
464,130,142,8543917
463,130,143,8599143
473,140,130,8606684
463,130,144,8654132
472,140,131,8668847
462,130,145,8708884
471,140,132,8730753
461,130,146,8763397
471,140,133,8792403
460,130,147,8817673
470,140,135,8853798
459,130,149,8871711
469,140,136,8914936
459,130,150,8925512
468,140,137,8975819
458,130,151,8979075
457,130,152,9032400
467,140,138,9036445
467,140,139,9096816
466,140,140,9156931
465,140,142,9216789
474,150,130,9236842
464,140,143,9276392
473,150,131,9303582
463,140,144,9335739
472,150,132,9370047
463,140,145,9394830
471,150,133,9436238
462,140,146,9453665
471,150,135,9502155
461,140,147,9512244
470,150,136,9567798
460,140,149,9570567
459,140,150,9628634
469,150,137,9633166
459,140,151,9686445
468,150,138,9698260
458,140,152,9744000
467,150,139,9763080
467,150,140,9827626
474,160,130,9869053
466,150,142,9891898
474,160,131,9940388
465,150,143,9955895
473,160,132,10011430
464,150,144,10019618
472,160,133,10082181
463,150,145,10083066
463,150,146,10146241
471,160,135,10152638
462,150,147,10209141
471,160,136,10222803
461,150,149,10271767
470,160,137,10292676
460,150,150,10334119
469,160,138,10362256
459,150,151,10396197
468,160,139,10431543
459,150,152,10458000
467,160,140,10500539
475,170,130,10503316
467,160,142,10569241
474,170,131,10579265
466,160,143,10637651
474,170,132,10654903
465,160,144,10705768
473,170,133,10730230
464,160,145,10773593
472,170,135,10805247
463,160,146,10841126
471,170,136,10879953
463,160,147,10908366
471,170,137,10954348
462,160,149,10975313
470,170,138,11028432
461,160,150,11041968
469,170,139,11102206
460,160,151,11108330
476,180,130,11139632
459,160,152,11174400
468,170,140,11175668
475,180,131,11220213
467,170,142,11248820
474,180,132,11300465
467,170,143,11321661
474,180,133,11380388
466,170,144,11394191
473,180,135,11459982
465,170,145,11466411
464,170,146,11538319
472,180,136,11539247
463,170,147,11609917
471,180,137,11618182
463,170,149,11681204
471,180,138,11696789
462,170,150,11752180
470,180,139,11775066
477,190,130,11778000
461,170,151,11822845
469,180,140,11853015
476,190,131,11863232
460,170,152,11893200
468,180,142,11930634
475,190,132,11948116
467,180,143,12007925
474,190,133,12032653
467,180,144,12084886
474,190,135,12116842
466,180,145,12161518
473,190,136,12200684
465,180,146,12237821
472,190,137,12284179
464,180,147,12313795
471,190,138,12367326
463,180,149,12389440
478,200,130,12418421
471,190,139,12450126
463,180,150,12464756
477,200,131,12508321
470,190,140,12532579
462,180,151,12539742
476,200,132,12597856
461,180,152,12614400
469,190,142,12614684
475,200,133,12687025
468,190,143,12696442
474,200,135,12775828
467,190,144,12777853
467,190,145,12858916
474,200,136,12864266
466,190,146,12939632
473,200,137,12952338
465,190,147,13020000
472,200,138,13040044
478,210,130,13060895
464,190,149,13100021
471,200,139,13127385
478,210,131,13155482
463,190,150,13179695
471,200,140,13214360
477,210,132,13249685
463,190,151,13259021
470,200,142,13300970
462,190,152,13338000
476,210,133,13343505
469,200,143,13387213
475,210,135,13436940
468,200,144,13473091
474,210,136,13529992
467,200,145,13558604
474,210,137,13622659
467,200,146,13643751
479,220,130,13705421
473,210,138,13714943
466,200,147,13728532
478,220,131,13804714
472,210,139,13806843
465,200,149,13812947
464,200,150,13896997
471,210,140,13898358
478,220,132,13903604
463,200,151,13980681
471,210,142,13989490
477,220,133,14002092
463,200,152,14064000
470,210,143,14080238
476,220,135,14100178
469,210,144,14170602
475,220,136,14197861
468,210,145,14260582
474,220,137,14295143
467,210,146,14350178
480,230,130,14352000
474,220,138,14392022
467,210,147,14439391
479,230,131,14456016
473,220,139,14488499
466,210,149,14528219
478,230,132,14559612
472,220,140,14584574
465,210,150,14616663
478,230,133,14662787
471,220,142,14680247
464,210,151,14704724
477,230,135,14765541
471,220,143,14775517
463,210,152,14792400
476,230,136,14867875
470,220,144,14870385
469,220,145,14964851
475,230,137,14969789
468,220,146,15058915
474,230,138,15071282
467,220,147,15152576
474,230,139,15172355
467,220,149,15245835
473,230,140,15273007
466,220,150,15338693
472,230,142,15373238
465,220,151,15431147
471,230,143,15473049
464,220,152,15523200
471,230,144,15572440
470,230,145,15671410
469,230,146,15769960
468,230,147,15868089
467,230,149,15965797
467,230,150,16063085
466,230,151,16159953
465,230,152,16256400
